#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Backfield,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
600,"2508 Mississippi State O vs Texas, PFF Play 221",221,5,2,10,'+25,2,,RA,17,2,0,P,C,11,DOUBLES,,,,,,,OPEN,,INCOMPLETE,GF,,,PA,,WIDE OVER,4 DOWN,,,COVER 1,,MSST 00,MSST 02,06,08,00; 03; 11,0,11,P,2,C,-8,,0,0,,MAN,,,0,0,0,0,0,,MSST 02,06,00; 03; 11,08,WIDE OVER,2x2,1,P,MSST 00,0,COVER 1
601,"2508 Mississippi State O vs Texas, PFF Play 222",222,5,3,10,'+25,3,,RA,17,3,0,P,C,11,DOUBLES,,,,,,,OPEN,,HIT AS THREW,GF,,,PA,,BENCH,4 DOWN,,,COVER 1,,,MSST 02,06,08,00; 03; 11,0,11,P,3,C,-8,,0,0,,MAN,,,0,0,0,0,0,,MSST 02,06,00; 03; 11,08,WIDE UNDER,2x2,1,P,,0,COVER 1
602,"2508 Mississippi State O vs Texas, PFF Play 223",223,5,4,10,'+25,4,,RA,17,4,-5,X,C,11,DOUBLES,,Z OUT,,,,,OPEN,,,GN,,,,,EVEN,4 DOWN,,,,,,MSST 02,06,08,00; 03; 11,0,11,X,4,C,-8,,0,,,,MSST 77 FST,,0,0,0,0,0,,MSST 02,06,00; 03; 11,08,EVEN,2x2,0,P,,0,
603,"2508 Mississippi State O vs Texas, PFF Play 224",224,5,4,15,'+30,4,,,17,5,-5,X,C,11,TRIPS - OPEN,,,,,,,,,,GN,,,,,BENCH,4 DOWN,,,,,,MSST 02,06,08,00; 03; 11,0,11,X,5,C,-8,,0,,,,MSST 72 FST,,0,0,0,0,0,,MSST 02,06,00; 03; 11,08,WIDE UNDER,1x3,0,P,,0,
604,"2508 Mississippi State O vs Texas, PFF Play 225",225,5,4,20,'+35,4,,,17,6,-31,P,C,11,DUO Y OFF,,H RETURN,,,,,OFF,,SACK,GF,,,DB,,ONE INTERIOR,,,,COVER 3,,MSST 02,MSST 02,06,08,00; 03; 11,0,11,P,6,C,-8,-31,0,0,,,,,0,0,0,0,0,MSST 02,MSST 02,06,00; 03; 11,08,ONE INTERIOR,2x2,0,P,,1,COVER 3
605,"2509 Mississippi State O @ Arkansas, Play 001",1,1,0,10,'-20,P,,,1,1,1,R,R,12,ACE YU OFF,,,,,,,OFF,,,GN,CTR OY,WK,GAP,GAP,BEAR,5 DOWN,,,COVER 1,,MSST 06,MSST 02,6,08; 10,00; 03,0,12,R,,R,43,1,0,,,COUNTER,,,0,0,0,0,0,MSST 06,MSST 02,06,00; 03,08; 10,BEAR,2x2,1,,,0,COVER 1
606,"2509 Mississippi State O @ Arkansas, Play 002",2,1,2,9,'-21,2,,,1,2,0,P,R,12,ACE YU OFF,,,,,,,OFF,VERT X,INCOMPLETE,GN,,,PA,QK SET,BEAR,5 DOWN,,,COVER 1,,,MSST 02,6,08; 10,00; 03,1,12,P,,R,1,0,0,0,,UNDEFINED,,,0,0,1,0,0,,MSST 02,06,00; 03,08; 10,BEAR,2x2,0,R,MSST 03,1,COVER 1
607,"2509 Mississippi State O @ Arkansas, Play 003",3,1,3,9,'-21,3,,,1,3,0,P,RM,11,TREY Y OFF,,Y FR,,,,,OFF,SW VERTS RD,INCOMPLETE,GN,,,DB,MAN,OVER,4 DOWN,,,COVER 6,,,MSST 02,6,8,00; 09; 11,0,11,P,,R,,0,0,0,,,ARUN D04 DPI,,0,0,0,0,0,,MSST 02,06,00; 09; 11,08,WIDE OVER,1x3,0,P,MSST 00,0,COVER 6
608,"2509 Mississippi State O @ Arkansas, Play 004",4,1,1,10,'-36,1,,,1,4,0,P,RM,11,DUO Y HIP,,,,,,,OFF,HITCHES,INCOMPLETE,GF,,,RPO,GAP,JACK,4 DOWN,,,COVER 1,,,MSST 02,24,8,00; 03; 11,0,11,P,,C,,0,0,0,,COUNTER,,,0,0,0,0,0,,MSST 02,24,00; 03; 11,08,WIDE UNDER,2x2,1,P,MSST 11,0,COVER 1
609,"2509 Mississippi State O @ Arkansas, Play 005",5,1,2,10,'-36,2,,,1,5,2,R,RM,11,TREY Y OFF,,Y MO,,,,,OFF,,,GF,OUTSIDE ZN RD,STR,ZN,,OVER,4 DOWN,,,COVER 4,,MSST 02,MSST 02,24,8,00; 03; 11,1,11,R,,C,,2,0,,,PULL LEAD,,,0,0,1,0,0,MSST 02,MSST 02,24,00; 03; 11,08,WIDE OVER,1x2,1,P,,0,COVER 4
610,"2509 Mississippi State O @ Arkansas, Play 006",6,1,3,8,'-38,3,,,1,6,11,P,R,11,DOUBLES,,Y RETURN,,,,,OPEN,SW CURLS,COMPLETE,GF,,,DB,32,SPLIT,4 DOWN,,ARROW,COVER 1,,MSST 00,MSST 02,24,8,00; 03; 11,1,11,P,,R,2,11,0,0,,,,,0,0,1,0,0,MSST 00,MSST 02,24,00; 03; 11,08,EVEN,2x2,0,R,MSST 00,1,COVER 1
611,"2509 Mississippi State O @ Arkansas, Play 007",7,1,1,10,'-49,1,,,1,7,1,R,LM,11,DUO Y OFF,,Y MTR,,,,,OFF,,,,ZONE RD ARC,,ZN,,JACK,3 DOWN,,STORM,COVER 3,,MSST 02,MSST 02,24,8,00; 03; 11,0,11,R,,C,11,1,0,,,INSIDE ZONE,,,0,0,0,0,0,MSST 02,MSST 02,24,00; 03; 11,08,OVER,2x2,1,P,,1,COVER 3
612,"2509 Mississippi State O @ Arkansas, Play 008",8,1,2,9,'+50,2,,,1,8,'-1,P,R,11,TRIPS OPEN V BUNCH FIB,Y POINT,,,X,,,OPEN,TUNNEL SCR,COMPLETE,GF,,,SCR,SPR O RT,OVER,4 DOWN,,,COVER 6,,MSST 11,MSST 02,24,8,00; 03; 11,1,11,P,,R,1,'-1,1,0,,OUTSIDE ZONE,,,0,0,1,0,0,MSST 11,MSST 02,24,00; 03; 11,08,WIDE UNDER,3x1,1,R,MSST 11,0,COVER 6
